samp_id,sc_id,mc_id,day,treatment,mc_round,age,final_fecal_volume_mL,gene_count_per_microlitre_feces,qpcr_complete,genecount_1µL_qpcr,genecount_total_predf,genecount_total,total_seq,Enterobacteriaceae_ng,Enterococcus,Pseudomonas,Paenibacillus,Cellulosimicrobium,Stenotrophomonas,Bombilactobacillus,Priestia,Mixta,Lactobacillus,Rhizobium,Delftia,Bifidobacterium,Snodgrassella,Sphingomonas,Lysinibacillus,Curtobacterium,Roseomonas,Sphingobacterium,Paracoccus,Comamonadaceae_ng,Apilactobacillus,Dermacoccus,Schmidhempelia,Bombiscardovia,Schmidhempelia,Stenotrophomonas,Rhodococcus,Delftia,Dermacoccus,Methylorubrum,Meiothermus,Stenotrophomonas,Roseomonas,Acinetobacter,Commensalibacter,Arsenophonus,Comamonas,Klebsiella,Enterococcus,Acetobacter,Sphingobium,Brevundimonas,Lachnoclostridium,Leucobacter
M15D5,1,15,5,Control,2,3,0.137422969,1117977.112,yes,204847.6453,10242382.26,153635734,28654,0,0,0,0,0,0,3883251.22,1694.082745,0,8633970.429,0,0,4817528.997,12165822.58,0,0,0,0,0,0,0,0,0,0,4220368.667,5395266.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M15D8,1,15,8,Control,2,3,0.181585033,1345745.064,yes,325822.8824,16291144.12,244367161.8,24328,6175.027983,0,0,0,0,0,8658520.766,0,0,11541056.79,0,0,9884817.247,14825959.02,0,0,0,0,0,0,0,12053.60575,0,0,5522422.76,12116404.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M16D0,1,16,0,DMSO,2,3,0.069133558,1428185.551,yes,131647.3981,6582369.907,98735548.6,19959,2027.417141,0,0,0,0,0,2132121.922,0,0,5519987.594,0,0,1957969.604,10188178.89,0,0,0,0,0,0,0,0,0,0,1316347.461,3255072.443,0,0,0,0,0,0,0,0,0,0,2248.58992,0,0,0,0,0,0,0,0
M16D14,1,16,14,DMSO,2,3,0.036273744,15759591.34,yes,762212.5089,38110625.45,571659381.7,24764,6551586.687,0,34409509.62,0,0,0,911829.4413,0,0,3419894.967,0,0,3431448.613,2470019.139,0,0,0,0,0,0,0,0,0,0,1446483.473,588649.3843,16689676.96,0,0,0,0,0,69033970.17,0,0,0,0,0,0,0,0,0,0,0,0
M16D3,1,16,3,DMSO,2,3,0.187471432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M16D5,1,16,5,DMSO,2,3,0.055292259,275219.1975,yes,20289.9882,1014499.41,15217491.15,26857,0,0,185153.4407,0,0,0,351440.9237,0,0,658015.7585,0,0,333160.8887,957007.2083,0,0,0,0,0,0,0,0,0,0,332671.6051,668176.879,79618.71828,0,0,0,0,0,260673.9573,0,0,0,0,0,0,0,0,0,0,0,0
M16D8,1,16,8,DMSO,2,3,,,yes,26461.2968,1323064.84,19845972.6,25805,0,0,11454.30366,0,0,0,708125.5277,0,0,931751.4058,0,0,825427.3155,1220521.545,0,0,0,0,0,0,0,0,0,0,271321.6336,844636.2884,44641.69045,0,0,0,0,0,179229.7656,0,0,0,0,0,0,0,0,0,0,0,0
M17D0,1,17,0,1 ng/mL,2,3,0.10132463,1689351.378,yes,228230.5377,11411526.88,171172903.3,22275,0,0,0,0,0,0,3661678.496,0,0,11732348.12,0,0,5224557.242,10078260.94,0,0,0,0,0,0,0,0,0,0,3443197.093,8443377.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M17D14,1,17,14,1 ng/mL,2,3,0.102196011,558195.1757,yes,76060.42709,3803021.354,57045320.32,25605,0,0,0,0,0,0,690648.2778,351.9583615,0,5043025.189,0,0,1681962.391,1806268.048,0,0,0,0,0,0,0,0,0,0,1659927.206,3262199.192,0,0,0,0,0,0,0,0,3990.260557,0,0,0,0,0,0,0,0,0,0
M17D3,1,17,3,1 ng/mL,2,3,0.066094276,639168.8634,yes,56327.20436,2816360.218,42245403.27,23559,0,0,1907.634629,0,0,0,1123872.259,0,0,2067316.456,0,0,2227736.886,1742965.833,0,0,0,0,0,0,0,0,0,0,807313.4278,2852940.981,0,0,0,0,0,0,0,0,1338.189354,0,0,0,0,0,0,0,0,0,0
M17D5,1,17,5,1 ng/mL,2,3,0.120380923,277960.8731,yes,44614.91527,2230745.764,33461186.46,24091,0,0,18223.81054,0,0,0,556968.8184,438.8463677,0,2444951.521,0,0,1193328.825,1835496.987,0,0,0,0,0,0,0,0,0,0,530543.0089,1450757.931,7184.2225,0,0,0,0,0,23149.16032,0,86239.26115,0,0,32255.23049,0,0,0,0,0,0,0
M17D8,1,17,8,1 ng/mL,2,3,0.140534682,791278.1202,yes,148269.3587,7413467.937,111202019,22765,0,0,0,0,0,0,1445894.912,0,0,9653973.836,0,0,1906971.233,2083358.707,0,0,0,0,0,0,0,0,0,0,2471740.683,9514330.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M18D0,1,18,0,10 ng/mL,2,3,0.098051775,945055.1535,yes,123552.447,6177622.352,92664335.27,30921,0,0,0,0,0,0,1837043.991,0,0,8479243.307,0,0,2068068.276,3590177.346,0,0,0,0,0,0,0,0,0,0,1214157.878,5007668.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M18D14,1,18,14,10 ng/mL,2,3,0.19237098,672010.5616,yes,172367.107,8618355.35,129275330.3,21499,0,0,0,0,0,0,2319547.822,0,0,8436878.908,0,0,4335561.217,7773416.586,0,0,0,0,0,0,0,0,0,0,2544593.349,6883479.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
