samp_id,sc_id,mc_id,day,treatment,mc_round,age,final_fecal_volume_mL,gene_count_per_microlitre_feces,qpcr_complete,genecount_1µL_qpcr,genecount_total_predf,genecount_total,total_seq
M23D5,2,23,5,DMSO,2,3,0.106235113,945728.8034,yes,133959.4751,6697973.755,100469606.3,25524
M23D8,2,23,8,DMSO,2,3,0.077911857,3669069.601,yes,381152.0347,19057601.74,285864026.1,26905
M24D0,2,24,0,1 ng/mL,2,3,0.063254806,2058080.007,yes,173577.9354,8678896.771,130183451.6,22263
M24D14,2,24,14,1 ng/mL,2,3,0.056814284,2438998.094,yes,184759.9071,9237995.357,138569930.4,26266
M24D3,2,24,3,1 ng/mL,2,3,0.090936347,724951.6289,yes,87899.27051,4394963.525,65924452.88,23668
M24D5,2,24,5,1 ng/mL,2,3,0.10782241,369655.8842,yes,53142.91775,2657145.888,39857188.31,22931
M24D8,2,24,8,1 ng/mL,2,3,0.074940207,890700.2352,yes,88999.01334,4449950.667,66749260,24613
M25D0,2,25,0,10 ng/mL,2,3,0.181782528,1965795.343,yes,476462.996,23823149.8,357347247,24444
M25D14,2,25,14,10 ng/mL,2,3,0.154202401,303102.1839,yes,62318.77935,3115938.967,46739084.51,27677
M25D3,2,25,3,10 ng/mL,2,3,0.121624154,704276.5745,yes,114209.3901,5710469.503,85657042.55,22470
M25D5,2,25,5,10 ng/mL,2,3,0.146487533,976593.4266,yes,190745.0157,9537250.786,143058761.8,25683
M25D8,2,25,8,10 ng/mL,2,3,0.14081907,,,,,,
M26D0,2,26,0,100 ng/mL,2,3,0.06626336,3207248.827,yes,283364.1115,14168205.58,212523083.6,27169
M26D14,2,26,14,100 ng/mL,2,3,0.069429756,1775965.883,yes,164406.5038,8220325.192,123304877.9,27079
M26D3,2,26,3,100 ng/mL,2,3,0.091660971,1788298.469,yes,218556.2321,10927811.61,163917174.1,21909
M26D5,2,26,5,100 ng/mL,2,3,0.113280689,413827.3097,yes,62504.85702,3125242.851,46878642.77,22601
M26D8,2,26,8,100 ng/mL,2,3,0.160088057,618455.3097,yes,132009.7452,6600487.258,99007308.87,23104
M27D0,2,27,0,800 ng/mL,2,3,0.056670404,1488735.427,yes,112489.6508,5624482.54,84367238.1,24235
M27D14,2,27,14,800 ng/mL,2,3,0.175770783,1366382.034,yes,320226.72,16011336,240170040,18713
M27D3,2,27,3,800 ng/mL,2,3,0.098145104,1437828.846,yes,188154.4822,9407724.108,141115861.6,25218
M27D5,2,27,5,800 ng/mL,2,3,0.162861611,530254.1858,yes,115144.0679,5757203.396,86358050.94,25734
M27D8,2,27,8,800 ng/mL,2,3,0.111111111,601143.4795,yes,89058.29317,4452914.658,66793719.88,26799
M29D0,3,29,0,Control,3,1,0.16812291,253262.1018,yes,56772.2154,2838610.77,42579161.55,22404
M29D14,3,29,14,Control,3,1,0.053580844,5128794.156,yes,366406.8261,18320341.31,274805119.6,30699
M29D3,3,29,3,Control,3,1,0.088631356,539038.3069,yes,63700.92811,3185046.406,47775696.08,27786
M29D5,3,29,5,Control,3,1,0.06478814,463962.1148,yes,40078.98994,2003949.497,30059242.45,17626
M29D8,3,29,8,Control,3,1,0.066051567,789465.0484,yes,69527.20473,3476360.236,52145403.54,27824
M2D0,1,2,0,DMSO,1,1,0.165116934,281860.228,yes,62053.19555,3102659.778,46539896.67,27449
M2D14,1,2,14,DMSO,1,1,0.08682243,726387.5053,yes,84088.97111,4204448.555,63066728.33,25606
M2D3,1,2,3,DMSO,1,1,0.099208162,1266018.988,yes,167465.8893,8373294.463,125599416.9,26068
M2D5,1,2,5,DMSO,1,1,0.133384629,424307.5497,yes,75461.47346,3773073.673,56596105.1,26476
M2D8,1,2,8,DMSO,1,1,0.132798974,504195.2702,yes,89275.4861,4463774.305,66956614.58,25771
M30D0,3,30,0,DMSO,3,1,0.15476691,419646.2994,yes,86596.4814,4329824.07,64947361.05,21888
M30D14,3,30,14,DMSO,3,1,0.160104807,1303800.412,yes,278326.2845,13916314.23,208744713.4,25069
M30D3,3,30,3,DMSO,3,1,0.15393642,1301852.341,yes,267203.3183,13360165.92,200402488.8,20086
M30D5,3,30,5,DMSO,3,1,0.091298897,880245.5328,yes,107153.9283,5357696.415,80365446.23,30047
M30D8,3,30,8,DMSO,3,1,0.178455905,823012.9964,yes,195828.7055,9791435.276,146871529.1,29322
M31D0,3,31,0,1 ng/mL,3,1,0.168581175,551884.629,yes,124049.8123,6202490.615,93037359.22,22188
M31D14,3,31,14,1 ng/mL,3,1,0.164612326,1194678.318,yes,262211.7024,13110585.12,196658776.8,22889
M31D3,3,31,3,1 ng/mL,3,1,0.181675978,1367134.771,yes,331167.3954,16558369.77,248375546.6,29905
M31D5,3,31,5,1 ng/mL,3,1,0.191841661,1128010.318,yes,288532.4975,14426624.88,216399373.1,27089
M31D8,3,31,8,1 ng/mL,3,1,0.166634569,567719.6688,yes,126135.6298,6306781.488,94601722.32,21039
M32D0,3,32,0,10 ng/mL,3,1,0.171858183,1309.384413,yes,300.0379013,15001.89507,225028.426,19056
M32D14,3,32,14,10 ng/mL,3,1,0.079124662,6086899.358,yes,642165.1391,32108256.95,481623854.3,26572
M32D3,3,32,3,10 ng/mL,3,1,0.173507463,217426.9513,yes,50300.26495,2515013.247,37725198.71,30199
M32D5,3,32,5,10 ng/mL,3,1,0.131137217,1735506.38,yes,303452.6356,15172631.78,227589476.7,26180
M32D8,3,32,8,10 ng/mL,3,1,0.121241234,1061008.625,yes,171517.3267,8575866.334,128637995,24536
M33D0,3,33,0,100 ng/mL,3,1,0.111200119,456657.1175,yes,67707.10109,3385355.054,50780325.81,29098
M33D14,3,33,14,100 ng/mL,3,1,0.187244952,1315387.825,yes,328399.6403,16419982.01,246299730.2,21958
M33D3,3,33,3,100 ng/mL,3,1,0.105591613,1871924.586,yes,263546.0485,13177302.43,197659536.4,22137
M33D5,3,33,5,100 ng/mL,3,1,0.132104228,1210737.126,yes,213257.9911,10662899.56,159943493.3,27197
M33D8,3,33,8,100 ng/mL,3,1,0.055036855,659931.1147,yes,48427.37743,2421368.872,36320533.07,24176
M34D0,3,34,0,800 ng/mL,3,1,0.079890051,165625.6369,yes,17642.45411,882122.7056,13231840.58,25031
M34D14,3,34,14,800 ng/mL,3,1,0.117936571,1812762.44,yes,285054.6483,14252732.41,213790986.2,33150
M34D3,3,34,3,800 ng/mL,3,1,0.116836283,974135.6484,yes,151752.5177,7587625.884,113814388.3,24203
M34D5,3,34,5,800 ng/mL,3,1,0.052091879,2648111.081,yes,183926.776,9196338.8,137945082,21716
M34D8,3,34,8,800 ng/mL,3,1,0.076826535,442215.9823,yes,45298.56218,2264928.109,33973921.64,22207
M36D0,4,36,0,Control,3,1,0.101356529,2765549.349,yes,373741.977,18687098.85,280306482.8,24969
M36D14,4,36,14,Control,3,1,0.044072217,4550625.304,yes,267408.1945,13370409.72,200556145.9,30969
M36D3,4,36,3,Control,3,1,0.083322949,1902097.463,yes,211317.8265,10565891.32,158488369.9,22516
M36D5,4,36,5,Control,3,1,0.150354831,173193.3911,yes,34720.6174,1736030.87,26040463.05,29713
M36D8,4,36,8,Control,3,1,0.096511527,2110603.087,yes,271596.7024,13579835.12,203697526.8,20630
M37D0,4,37,0,DMSO,3,1,0.082785505,1407748.635,yes,155388.2423,7769412.115,116541181.7,21063
M37D14,4,37,14,DMSO,3,1,0.071273269,3098664.83,yes,294469.296,14723464.8,220851972,25175
M37D3,4,37,3,DMSO,3,1,0.073104631,1628317.578,yes,158716.7409,7935837.047,119037555.7,25288
M37D5,4,37,5,DMSO,3,1,0.170151216,446443.8784,yes,101283.9584,5064197.919,75962968.79,29029
M37D8,4,37,8,DMSO,3,1,0.102141764,1368643.743,yes,186394.2483,9319712.414,139795686.2,22552
M38D0,4,38,0,1 ng/mL,3,1,0.058016707,1834551.942,yes,141912.8833,7095644.167,106434662.5,24382
M38D14,4,38,14,1 ng/mL,3,1,0.12051003,302875.1028,yes,48665.98364,2433299.182,36499487.73,23731
M38D3,4,38,3,1 ng/mL,3,1,0.068324226,174833.6265,yes,15927.16294,796358.1472,11945372.21,24140
M38D5,4,38,5,1 ng/mL,3,1,0.110814889,483697.921,yes,71467.90856,3573395.428,53600931.42,27272
M38D8,4,38,8,1 ng/mL,3,1,0.057401266,1929276.891,yes,147657.248,7382862.399,110742936,22242
M39D0,4,39,0,10 ng/mL,3,1,0.105984496,3864.649837,yes,546.1239536,27306.19768,409592.9652,25772
M39D14,4,39,14,10 ng/mL,3,1,0.12276772,1478496.089,yes,242015.4585,12100772.93,181511593.9,31571
M39D3,4,39,3,10 ng/mL,3,1,0.198068146,957755.5303,yes,252934.483,12646724.15,189700862.2,23763
M39D5,4,39,5,10 ng/mL,3,1,0.054210377,1396808.434,yes,100962.0157,5048100.785,75721511.78,22382
M39D8,4,39,8,10 ng/mL,3,1,0.034452268,3972687.917,yes,182490.8118,9124540.59,136868108.8,31500
M3D0,1,3,0,1 ng/mL,1,1,0.108709828,,,,,,
M3D14,1,3,14,1 ng/mL,1,1,0.097507508,795241.5729,yes,103389.3654,5169468.269,77542024.03,27392
M3D3,1,3,3,1 ng/mL,1,1,0.070503597,936295.2568,yes,88016.24461,4400812.23,66012183.46,21132
M3D5,1,3,5,1 ng/mL,1,1,0.087743474,664192.4311,yes,77704.73508,3885236.754,58278551.31,24575
M3D8,1,3,8,1 ng/mL,1,1,0.072966145,248868.4338,yes,24211.96031,1210598.015,18158970.23,24832
M40D0,4,40,0,100 ng/mL,3,1,0.130909091,818830.8549,yes,142923.2038,7146160.191,107192402.9,27091
M40D14,4,40,14,100 ng/mL,3,1,0.120481694,996530.6157,yes,160084.9289,8004246.446,120063696.7,22495
M40D3,4,40,3,100 ng/mL,3,1,0.070408013,1250666.139,yes,117409.2237,5870461.187,88056917.8,19776
M40D5,4,40,5,100 ng/mL,3,1,0.076461838,1165466.378,yes,118818.2685,5940913.427,89113701.4,28836
M40D8,4,40,8,100 ng/mL,3,1,0.120548492,707424.0734,yes,113705.207,5685260.35,85278905.25,22000
M41D0,4,41,0,800 ng/mL,3,1,0.126255493,1327311.059,yes,223440.4162,11172020.81,167580312.1,19616
