sample,sc_id,mc_id,day,treatment,mc_round,age,total_seq, Enterobacteriaceae_ng, Enterococcus, Pseudomonas, Paenibacillus, Cellulosimicrobium, Enterobacteriaceae_ng, Enterobacteriaceae_ng, Enterococcus, Stenotrophomonas, Enterobacteriaceae_ng, Bombilactobacillus, Priestia, Pseudomonas, Mixta, Enterobacteriaceae_ng, Lactobacillus, Enterobacteriaceae_ng, Enterococcus, Lactobacillus, Rhizobium, Delftia, Bifidobacterium, Snodgrassella, Sphingomonas, Bombilactobacillus, Bifidobacterium, Lysinibacillus, Bifidobacterium, Curtobacterium, Lactobacillus, Roseomonas, Lactobacillus, Sphingobacterium, Paracoccus, Comamonadaceae_ng, Apilactobacillus, Pseudomonas, Dermacoccus, Schmidhempelia, Bombiscardovia, Schmidhempelia, Stenotrophomonas, Lactobacillus, Rhodococcus, Delftia, Bifidobacterium, Lactobacillus, Dermacoccus, Pseudomonas, Methylorubrum, Meiothermus, Enterobacteriaceae_ng, Pseudomonas, Stenotrophomonas, Roseomonas, Acinetobacter, Commensalibacter, Snodgrassella, Arsenophonus, Comamonas, Klebsiella, Enterococcus, Acetobacter, Bifidobacterium, Sphingobium, Bombilactobacillus, Paenibacillus, Brevundimonas, Paenibacillus, Lachnoclostridium, Lactobacillus, Leucobacter, Paenibacillus, Bombilactobacillus, Lactobacillus
M48D14,3,Gut,14,800 ppb,4,3,25347,0,0,0,0,0,0,0.735668915,0,0,0,0,0,0,0,0,0.008955695,0.100564169,0,0.007140885,0,0,0.043082022,0,0,0,0,0,0,0,0.011086125,0,0,0,0,0,0,0,0,0,0.003866335,0.007180337,0,0,0,0,0.018305914,0.011914625,0,0,0,0,0,0,0,0,0,0,0.029983825,0,0,0,0,0,0.006509646,0,0.015741508,0,0,0,0,0,0,0,0,0
M13D14,2,Gut,14,800 ppb,1,1,28465,0,0.005199368,0,0.000983664,0,0,0.336729317,0,0,0,0,0,0.07089408,0.001826805,0,0.000983664,0,0,0.009801511,0,0,0,0.002002459,0,0,0,0.015141402,0,0,0.036852275,0,0,0,0,0,0,0.000702617,0,0,0.000526963,0.010644651,0.025540137,0,0,0,0.029193747,0.009977165,0,0,0,0,0,0,0.092815739,0,0.294466889,0,0,0,7.03E-05,0.024802389,0.003829264,0,0.002986123,0,0.021324434,0,0,0.002564553,0.000140523,0,0,0,0,0
M8D14,2,Gut,14,Control,1,1,24417,0,0.007003317,0,0.000901012,0,0,0.12450342,0,0,0,0,0,0.015685793,0,0,0.001474383,0.012040791,0,0.026579842,0.001433428,0,0,0,0,0,0,0.000327641,0,0.012614162,0.014088545,0,0,0.039931195,0,0,0,0,0,0,0,0.011754106,0.053323504,0,0,0,0,0.009378712,0,0,0,0,0,0,0.214686489,0,0.380800262,0,0,0,0.037637711,0,0,0,0.004218372,0,0.019986075,0,0,0,0,0,0.011631241,0,0,0
K100-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533333333,0.466666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K100-2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277777778,0,0,0,0,0,0,0,0,0,0.5,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K200-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K300-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KC50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092105263,0,0,0,0,0,0,0,0,0,0,0.184210526,0.723684211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M10D0,2,10,0,1 ppb,1,1,27478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022381542,0,0,0.166351263,0,0,0,0,0,0,0,0,0,0,0.126173666,0,0,0,0,0,0,0,0,0,0,0.434966155,0,0,0,0,0,0.035337361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046400757,0,0.168389257,0,0,0,0,0,0,0,0,0
M10D14,2,10,14,1 ppb,1,1,24165,0.004883095,0.001489758,0,0.002193255,0,0,0.060211049,0,0,0,0,0,0.097868819,0.001241465,0,0.002441548,0.002524312,0,0.026029381,0,0,0,0,0,0,0,0,0,0.002069108,0.01262156,0,0,0.054417546,0,0,0,0.003269191,0,0,0.000662115,0.007986758,0.078998552,0,0,0,0,0.012869853,0,0.001158701,0,0,0,0,0.271963584,0.000206911,0.285743844,0,0,0,0.047548107,0,0,0,0.004386509,0,0.016842541,0.000372439,0,0,0,0,0,0,0,0
